team_name,abbreviation,logo_url
Arizona Diamondbacks,ARI,https://www.mlbstatic.com/team-logos/109.svg
Atlanta Braves,ATL,https://www.mlbstatic.com/team-logos/144.svg
Baltimore Orioles,BAL,https://www.mlbstatic.com/team-logos/110.svg
Boston Red Sox,BOS,https://www.mlbstatic.com/team-logos/111.svg
Chicago Cubs,CHC,https://www.mlbstatic.com/team-logos/112.svg
Chicago White Sox,CWS,https://www.mlbstatic.com/team-logos/145.svg
Cincinnati Reds,CIN,https://www.mlbstatic.com/team-logos/113.svg
Cleveland Guardians,CLE,https://www.mlbstatic.com/team-logos/114.svg
Colorado Rockies,COL,https://www.mlbstatic.com/team-logos/115.svg
Detroit Tigers,DET,https://www.mlbstatic.com/team-logos/116.svg
Houston Astros,HOU,https://www.mlbstatic.com/team-logos/117.svg
Kansas City Royals,KC,https://www.mlbstatic.com/team-logos/118.svg
Los Angeles Angels,LAA,https://www.mlbstatic.com/team-logos/108.svg
Los Angeles Dodgers,LAD,https://www.mlbstatic.com/team-logos/119.svg
Miami Marlins,MIA,https://www.mlbstatic.com/team-logos/146.svg
Milwaukee Brewers,MIL,https://www.mlbstatic.com/team-logos/158.svg
Minnesota Twins,MIN,https://www.mlbstatic.com/team-logos/142.svg
New York Mets,NYM,https://www.mlbstatic.com/team-logos/121.svg
New York Yankees,NYY,https://www.mlbstatic.com/team-logos/147.svg
Oakland Athletics,ATH,https://www.mlbstatic.com/team-logos/133.svg
Philadelphia Phillies,PHI,https://www.mlbstatic.com/team-logos/143.svg
Pittsburgh Pirates,PIT,https://www.mlbstatic.com/team-logos/134.svg
San Diego Padres,SD,https://www.mlbstatic.com/team-logos/135.svg
San Francisco Giants,SF,https://www.mlbstatic.com/team-logos/137.svg
Seattle Mariners,SEA,https://www.mlbstatic.com/team-logos/136.svg
St. Louis Cardinals,STL,https://www.mlbstatic.com/team-logos/138.svg
Tampa Bay Rays,TB,https://www.mlbstatic.com/team-logos/139.svg
Texas Rangers,TEX,https://www.mlbstatic.com/team-logos/140.svg
Toronto Blue Jays,TOR,https://www.mlbstatic.com/team-logos/141.svg
Washington Nationals,WSH,https://www.mlbstatic.com/team-logos/120.svg
